"MINISTERIO DE EDUCACIÓN, CIENCIA Y TECNOLOGÍA","","","","","","",""
"DIRECCIÓN NACIONAL DE EDUCACIÓN SUPERIOR","","","","","","",""
"DEPARTAMENTO DE GESTIÓN DE LA INFORMACIÓN Y ESTADÍSTICAS","","","","","","",""
"","","","","","","",""
"POBLACIÓN GRADUADA EN EDUCACIÓN SUPERIOR. EL SALVADOR  AÑO 2022","","","","","","",""
"","","","","","","",""
"FUENTE: Dirección Nacional de Educación Superior. Reporte 2022 SNIEES","","","","","","",""
"INSTITUCIÓN DE EDUCACIÓN SUPERIOR","SECTOR","DEPARTAMENTO","GRADO ACADÉMICO","CARRERA","FEMENINO","MASCULINO","TOTAL"
"UNIVERSIDAD DE EL SALVADOR- SANTA ANA","PÚBLICO","Santa Ana","LICENCIATURA","LICENCIATURA EN CIENCIAS DE LA EDUCACION","0","0","0"
"UNIVERSIDAD DE EL SALVADOR,SAN MIGUEL","PÚBLICO","San Miguel","LICENCIATURA","LICENCIATURA EN CIENCIAS DE LA EDUCACION","0","0","0"
"UNIVERSIDAD DE EL SALVADOR","PÚBLICO","San Salvador","LICENCIATURA","LICENCIATURA EN CIENCIAS DE LA EDUCACION","57","22","79"
"UNIVERSIDAD DE ORIENTE","PRIVADO","San Miguel","LICENCIATURA","LICENCIATURA EN CIENCIAS DE LA EDUCACION  CON ESPECIALIDAD EN PARVULARIA","0","0","0"
"UNIVERSIDAD DE EL SALVADOR- SANTA ANA","PÚBLICO","Santa Ana","LICENCIATURA","LICENCIATURA EN CIENCIAS DE LA EDUCACION (PLAN GENERALISTA)","0","0","0"
"UNIVERSIDAD EVANGELICA DE EL SALVADOR","PRIVADO","San Salvador","LICENCIATURA","LICENCIATURA EN CIENCIAS DE LA EDUCACION CON ESPECIALIDAD  EN EDUCACION PARVULARIA","0","0","0"
"UNIVERSIDAD DE SONSONATE","PRIVADO","Sonsonate","LICENCIATURA","LICENCIATURA EN CIENCIAS DE LA EDUCACION CON ESPECIALIDAD EN CIENCIAS NATURALES","6","1","7"
"UNIVERSIDAD PEDAGOGICA DE EL SALVADOR","PRIVADO","San Salvador","LICENCIATURA","LICENCIATURA EN CIENCIAS DE LA EDUCACION CON ESPECIALIDAD EN CIENCIAS NATURALES","13","11","24"
"UNIVERSIDAD DE SONSONATE","PRIVADO","Sonsonate","LICENCIATURA","LICENCIATURA EN CIENCIAS DE LA EDUCACION CON ESPECIALIDAD EN CIENCIAS SOCIALES","5","6","11"
"UNIVERSIDAD EVANGELICA DE EL SALVADOR","PRIVADO","San Salvador","LICENCIATURA","LICENCIATURA EN CIENCIAS DE LA EDUCACION CON ESPECIALIDAD EN CIENCIAS SOCIALES","0","0","0"
"UNIVERSIDAD PEDAGOGICA DE EL SALVADOR","PRIVADO","San Salvador","LICENCIATURA","LICENCIATURA EN CIENCIAS DE LA EDUCACIÓN CON ESPECIALIDAD EN CIENCIAS SOCIALES","25","16","41"
"UNIVERSIDAD CATOLICA DE EL SALVADOR","PRIVADO","Santa Ana","LICENCIATURA","LICENCIATURA EN CIENCIAS DE LA EDUCACIÓN CON ESPECIALIDAD EN DIRECCIÓN Y ADMINISTRACIÓN ESCOLAR","2","3","5"
"UNIVERSIDAD CATOLICA DE EL SALVADOR","PRIVADO","Santa Ana","LICENCIATURA","LICENCIATURA EN CIENCIAS DE LA EDUCACIÓN CON ESPECIALIDAD EN EDUCACIÓN BÁSICA","35","8","43"
"UNIVERSIDAD DE SONSONATE","PRIVADO","Sonsonate","LICENCIATURA","LICENCIATURA EN CIENCIAS DE LA EDUCACION CON ESPECIALIDAD EN EDUCACION BASICA PARA PRIMERO Y  SEGUNDO CICLOS","37","8","45"
"UNIVERSIDAD EVANGELICA DE EL SALVADOR","PRIVADO","San Salvador","LICENCIATURA","LICENCIATURA EN CIENCIAS DE LA EDUCACION CON ESPECIALIDAD EN EDUCACION ESPECIAL","0","0","0"
"INSTITUTO ESPECIALIZADO DE EDUCACION SUPERIOR EL ESPIRITU SANTO","PRIVADO","La Libertad","LICENCIATURA","LICENCIATURA EN CIENCIAS DE LA EDUCACION CON ESPECIALIDAD EN EDUCACION PARVULARIA","0","0","0"
"UNIVERSIDAD FRANCISCO GAVIDIA","PRIVADO","San Salvador","LICENCIATURA","LICENCIATURA EN CIENCIAS DE LA EDUCACION CON ESPECIALIDAD EN EDUCACION PARVULARIA","0","0","0"
"UNIVERSIDAD FRANCISCO GAVIDIA Regional Santa Ana","PRIVADO","Santa Ana","LICENCIATURA","LICENCIATURA EN CIENCIAS DE LA EDUCACION CON ESPECIALIDAD EN EDUCACION PARVULARIA","0","0","0"
"UNIVERSIDAD MODULAR ABIERTA","PRIVADO","San Salvador","LICENCIATURA","LICENCIATURA EN CIENCIAS DE LA EDUCACION CON ESPECIALIDAD EN EDUCACION PARVULARIA","0","0","0"
"UNIVERSIDAD MODULAR ABIERTA, REGIONAL SAN MIGUEL","PRIVADO","San Miguel","LICENCIATURA","LICENCIATURA EN CIENCIAS DE LA EDUCACION CON ESPECIALIDAD EN EDUCACION PARVULARIA","0","0","0"
"UNIVERSIDAD MODULAR ABIERTA, REGIONAL SANTA ANA","PRIVADO","Santa Ana","LICENCIATURA","LICENCIATURA EN CIENCIAS DE LA EDUCACION CON ESPECIALIDAD EN EDUCACION PARVULARIA","0","0","0"
"UNIVERSIDAD MODULAR ABIERTA, REGIONAL SONSONATE","PRIVADO","Sonsonate","LICENCIATURA","LICENCIATURA EN CIENCIAS DE LA EDUCACION CON ESPECIALIDAD EN EDUCACION PARVULARIA","1","0","1"
"UNIVERSIDAD PEDAGOGICA DE EL SALVADOR","PRIVADO","San Salvador","LICENCIATURA","LICENCIATURA EN CIENCIAS DE LA EDUCACIÓN CON ESPECIALIDAD EN EDUCACIÓN PARVULARIA","7","0","7"
"UNIVERSIDAD FRANCISCO GAVIDIA","PRIVADO","San Salvador","LICENCIATURA","LICENCIATURA EN CIENCIAS DE LA EDUCACION CON ESPECIALIDAD EN EDUCACION PARVULARIA  BILINGUE","0","0","0"
"UNIVERSIDAD CATOLICA DE EL SALVADOR - ILOBASCO","PRIVADO","Cabañas","LICENCIATURA","LICENCIATURA EN CIENCIAS DE LA EDUCACION CON ESPECIALIDAD EN IDIOMA INGLES","20","4","24"
"UNIVERSIDAD MODULAR ABIERTA","PRIVADO","San Salvador","LICENCIATURA","LICENCIATURA EN CIENCIAS DE LA EDUCACION CON ESPECIALIDAD EN IDIOMA INGLES","23","8","31"
"UNIVERSIDAD PEDAGOGICA DE EL SALVADOR","PRIVADO","San Salvador","LICENCIATURA","LICENCIATURA EN CIENCIAS DE LA EDUCACION CON ESPECIALIDAD EN IDIOMA INGLES","31","18","49"
"UNIVERSIDAD CATOLICA DE EL SALVADOR","PRIVADO","Santa Ana","LICENCIATURA","LICENCIATURA EN CIENCIAS DE LA EDUCACIÓN CON ESPECIALIDAD EN IDIOMA INGLÉS","19","17","36"
"UNIVERSIDAD DE SONSONATE","PRIVADO","Sonsonate","LICENCIATURA","LICENCIATURA EN CIENCIAS DE LA EDUCACION CON ESPECIALIDAD EN LENGUAJE Y LITERATURA","20","2","22"
"UNIVERSIDAD MODULAR ABIERTA","PRIVADO","San Salvador","LICENCIATURA","LICENCIATURA EN CIENCIAS DE LA EDUCACION CON ESPECIALIDAD EN LENGUAJE Y LITERATURA","11","6","17"
"UNIVERSIDAD PEDAGOGICA DE EL SALVADOR","PRIVADO","San Salvador","LICENCIATURA","LICENCIATURA EN CIENCIAS DE LA EDUCACIÓN CON ESPECIALIDAD EN LENGUAJE Y LITERATURA","23","6","29"
"UNIVERSIDAD PEDAGOGICA DE EL SALVADOR","PRIVADO","San Salvador","LICENCIATURA","LICENCIATURA EN CIENCIAS DE LA EDUCACION CON ESPECIALIDAD EN MATEMATICA","18","14","32"
"UNIVERSIDAD CATOLICA DE EL SALVADOR","PRIVADO","Santa Ana","LICENCIATURA","LICENCIATURA EN CIENCIAS DE LA EDUCACIÓN CON ESPECIALIDAD EN MATEMÁTICA","2","7","9"
"UNIVERSIDAD DE EL SALVADOR- SANTA ANA","PÚBLICO","Santa Ana","LICENCIATURA","LICENCIATURA EN CIENCIAS DE LA EDUCACIÓN EN LA ESPECIALIDAD DE PRIMERO Y SEGUNDO CICLO DE EDUCACIÓN BÁSICA","0","0","0"
"UNIVERSIDAD DE EL SALVADOR,SAN MIGUEL","PÚBLICO","San Miguel","LICENCIATURA","LICENCIATURA EN CIENCIAS DE LA EDUCACIÓN EN LA ESPECIALIDAD DE PRIMERO Y SEGUNDO CICLO DE EDUCACIÓN BÁSICA","38","16","54"
"UNIVERSIDAD DE EL SALVADOR","PÚBLICO","San Salvador","LICENCIATURA","LICENCIATURA EN CIENCIAS DE LA EDUCACION ESPECIALIDAD EDUCACION FISICA, DEPORTE Y RECREACION","22","44","66"
"UNIVERSIDAD DE EL SALVADOR, SAN VICENTE","PÚBLICO","San Vicente","LICENCIATURA","LICENCIATURA EN CIENCIAS DE LA EDUCACION ESPECIALIDAD EN CIENCIAS SOCIALES","0","1","1"
"UNIVERSIDAD DE ORIENTE","PRIVADO","San Miguel","LICENCIATURA","LICENCIATURA EN CIENCIAS DE LA EDUCACIÓN ESPECIALIDAD EN CIENCIAS SOCIALES","0","0","0"
"UNIVERSIDAD PANAMERICANA","PRIVADO","San Salvador","LICENCIATURA","LICENCIATURA EN CIENCIAS DE LA EDUCACIÓN ESPECIALIDAD EN CIENCIAS SOCIALES","6","3","9"
"UNIVERSIDAD PANAMERICANA, REGIONAL AHUACHAPAN","PRIVADO","Ahuachapán","LICENCIATURA","LICENCIATURA EN CIENCIAS DE LA EDUCACIÓN ESPECIALIDAD EN CIENCIAS SOCIALES","21","11","32"
"UNIVERSIDAD PANAMERICANA, REGIONAL SAN VICENTE","PRIVADO","San Vicente","LICENCIATURA","LICENCIATURA EN CIENCIAS DE LA EDUCACIÓN ESPECIALIDAD EN CIENCIAS SOCIALES","6","6","12"
"UNIVERSIDAD CATOLICA DE EL SALVADOR - ILOBASCO","PRIVADO","Cabañas","LICENCIATURA","LICENCIATURA EN CIENCIAS DE LA EDUCACIÓN ESPECIALIDAD EN DIRECCIÓN Y ADMINISTRACIÓN ESCOLAR","6","4","10"
"UNIVERSIDAD CATOLICA DE EL SALVADOR - ILOBASCO","PRIVADO","Cabañas","LICENCIATURA","LICENCIATURA EN CIENCIAS DE LA EDUCACIÓN ESPECIALIDAD EN EDUCACIÓN BÁSICA","16","0","16"
"UNIVERSIDAD PEDAGOGICA DE EL SALVADOR","PRIVADO","San Salvador","LICENCIATURA","LICENCIATURA EN CIENCIAS DE LA EDUCACION ESPECIALIDAD EN EDUCACION BASICA PARA PRIMERO Y SEGUNDO CICLO","137","11","148"
"UNIVERSIDAD CATOLICA DE EL SALVADOR","PRIVADO","Santa Ana","LICENCIATURA","LICENCIATURA EN CIENCIAS DE LA EDUCACION ESPECIALIDAD EN EDUCACION BASICA- SEMIPRESENCIAL","0","0","0"
"UNIVERSIDAD PEDAGOGICA DE EL SALVADOR","PRIVADO","San Salvador","LICENCIATURA","LICENCIATURA EN CIENCIAS DE LA EDUCACIÓN ESPECIALIDAD EN EDUCACIÓN FÍSICA Y DEPORTES","11","44","55"
"UNIVERSIDAD PEDAGOGICA DE EL SALVADOR","PRIVADO","San Salvador","LICENCIATURA","LICENCIATURA EN CIENCIAS DE LA EDUCACIÓN ESPECIALIDAD EN EDUCACIÓN FÍSICA Y DEPORTES PLAN ESPECIAL","0","0","0"
"UNIVERSIDAD DE ORIENTE","PRIVADO","San Miguel","LICENCIATURA","LICENCIATURA EN CIENCIAS DE LA EDUCACION ESPECIALIDAD EN EDUCACION PARVULARIA","0","0","0"
"UNIVERSIDAD LUTERANA SALVADOREÑA","PRIVADO","San Salvador","LICENCIATURA","LICENCIATURA EN CIENCIAS DE LA EDUCACION ESPECIALIDAD EN EDUCACION PARVULARIA","0","0","0"
"UNIVERSIDAD MODULAR ABIERTA, REGIONAL SAN MIGUEL","PRIVADO","San Miguel","LICENCIATURA","LICENCIATURA EN CIENCIAS DE LA EDUCACIÓN ESPECIALIDAD EN IDIOMA INGLÉS","0","0","0"
"UNIVERSIDAD MODULAR ABIERTA, REGIONAL SANTA ANA","PRIVADO","Santa Ana","LICENCIATURA","LICENCIATURA EN CIENCIAS DE LA EDUCACIÓN ESPECIALIDAD EN IDIOMA INGLÉS","0","0","0"
"UNIVERSIDAD MODULAR ABIERTA, REGIONAL SONSONATE","PRIVADO","Sonsonate","LICENCIATURA","LICENCIATURA EN CIENCIAS DE LA EDUCACIÓN ESPECIALIDAD EN IDIOMA INGLÉS","0","0","0"
"UNIVERSIDAD MODULAR ABIERTA, REGIONAL SAN MIGUEL","PRIVADO","San Miguel","LICENCIATURA","LICENCIATURA EN CIENCIAS DE LA EDUCACIÓN ESPECIALIDAD EN LENGUAJE Y LITERATURA","0","0","0"
"UNIVERSIDAD MODULAR ABIERTA, REGIONAL SANTA ANA","PRIVADO","Santa Ana","LICENCIATURA","LICENCIATURA EN CIENCIAS DE LA EDUCACIÓN ESPECIALIDAD EN LENGUAJE Y LITERATURA","0","0","0"
"UNIVERSIDAD MODULAR ABIERTA, REGIONAL SONSONATE","PRIVADO","Sonsonate","LICENCIATURA","LICENCIATURA EN CIENCIAS DE LA EDUCACIÓN ESPECIALIDAD EN LENGUAJE Y LITERATURA","0","0","0"
"UNIVERSIDAD MODULAR ABIERTA, REGIONAL SONSONATE","PRIVADO","Sonsonate","LICENCIATURA","LICENCIATURA EN CIENCIAS DE LA EDUCACIÓN ESPECIALIDAD EN LENGUAJE Y LITERATURA","0","0","0"
"UNIVERSIDAD CATOLICA DE EL SALVADOR - ILOBASCO","PRIVADO","Cabañas","LICENCIATURA","LICENCIATURA EN CIENCIAS DE LA EDUCACIÓN ESPECIALIDAD MATEMÁTICA (SEMIPRESENCIAL)","4","5","9"
"UNIVERSIDAD DE EL SALVADOR, SAN VICENTE","PÚBLICO","San Vicente","LICENCIATURA","LICENCIATURA EN CIENCIAS DE LA EDUCACIÓN PARA LA PROFESIONALIZACIÓN DE EDUCACIÓN BÁSICA PARA LOS CICLOS PRIMERO Y SEGUNDO","0","3","3"
"UNIVERSIDAD DE EL SALVADOR","PÚBLICO","San Salvador","LICENCIATURA","LICENCIATURA EN CIENCIAS DE LA EDUCACION PARA PRIMERO Y SEGUNDO CICLO DE EDUCACION BASICA","0","0","0"
"UNIVERSIDAD DE SONSONATE","PRIVADO","Sonsonate","LICENCIATURA","LICENCIATURA EN CIENCIAS DE LA EDUCACION, CON ESPECIALIDAD EN MATEMATICA","10","10","20"
"UNIVERSIDAD DE EL SALVADOR- SANTA ANA","PÚBLICO","Santa Ana","LICENCIATURA","LICENCIATURA EN CIENCIAS DE LA EDUCACION, ESPECIALIDAD EN CIENCIAS NATURALES","0","1","1"
"UNIVERSIDAD DE EL SALVADOR- SANTA ANA","PÚBLICO","Santa Ana","LICENCIATURA","LICENCIATURA EN CIENCIAS DE LA EDUCACION, ESPECIALIDAD EN CIENCIAS SOCIALES","0","0","0"
"UNIVERSIDAD MONSEÑOR OSCAR ARNULFO ROMERO","PRIVADO","Chalatenango","LICENCIATURA","LICENCIATURA EN CIENCIAS DE LA EDUCACIÓN, ESPECIALIDAD EN EDUCACIÓN BÁSICA PARA PRIMERO Y SEGUNDO CICLOS","0","0","0"
"UNIVERSIDAD DE EL SALVADOR- SANTA ANA","PÚBLICO","Santa Ana","LICENCIATURA","LICENCIATURA EN CIENCIAS DE LA EDUCACION, ESPECIALIDAD EN LENGUAJE Y LITERATURA","11","27","38"
"UNIVERSIDAD DE EL SALVADOR- SANTA ANA","PÚBLICO","Santa Ana","LICENCIATURA","LICENCIATURA EN CIENCIAS DE LA EDUCACION, ESPECIALIDAD MATEMATICA","0","0","0"
"UNIVERSIDAD DE EL SALVADOR","PÚBLICO","San Salvador","LICENCIATURA","LICENCIATURA EN CIENCIAS DE LA EDUCACION, PLAN ALTERNATIVO","0","0","0"
"UNIVERSIDAD AUTONOMA DE SANTA ANA","PRIVADO","Santa Ana","LICENCIATURA","LICENCIATURA EN CIENCIAS DEL DEPORTE, ACTIVIDAD FISICA Y RECREACION","0","0","0"
"UNIVERSIDAD DE EL SALVADOR- SANTA ANA","PÚBLICO","Santa Ana","LICENCIATURA","LICENCIATURA EN CIENCIAS DEL LENGUAJE Y LITERATURA","0","0","0"
"INSTITUTO ESPECIALIZADO ESCUELA SUPERIOR DE ECONOMIA Y NEGOCIOS","PRIVADO","La Libertad","LICENCIATURA","LICENCIATURA EN CIENCIAS JURIDICAS","7","8","15"
"UNIVERSIDAD CAPITAN GENERAL GERARDO BARRIOS","PRIVADO","San Miguel","LICENCIATURA","LICENCIATURA EN CIENCIAS JURIDICAS","59","25","84"
"UNIVERSIDAD CAPITAN GENERAL GERARDO BARRIOS, REGIONAL USULUTAN","PRIVADO","Usulutan","LICENCIATURA","LICENCIATURA EN CIENCIAS JURIDICAS","21","11","32"
"UNIVERSIDAD CENTROAMERICANA JOSE SIMEON CAÑAS","PRIVADO","La Libertad","LICENCIATURA","LICENCIATURA EN CIENCIAS JURIDICAS","82","39","121"
"UNIVERSIDAD CRISTIANA DE LAS ASAMBLEAS DE DIOS","PRIVADO","San Salvador","LICENCIATURA","LICENCIATURA EN CIENCIAS JURIDICAS","6","10","16"
"UNIVERSIDAD DE EL SALVADOR- SANTA ANA","PÚBLICO","Santa Ana","LICENCIATURA","LICENCIATURA EN CIENCIAS JURIDICAS","42","66","108"
"UNIVERSIDAD DE EL SALVADOR,SAN MIGUEL","PÚBLICO","San Miguel","LICENCIATURA","LICENCIATURA EN CIENCIAS JURIDICAS","30","31","61"
"UNIVERSIDAD DE ORIENTE","PRIVADO","San Miguel","LICENCIATURA","LICENCIATURA EN CIENCIAS JURIDICAS","49","24","73"
"UNIVERSIDAD DE SONSONATE","PRIVADO","Sonsonate","LICENCIATURA","LICENCIATURA EN CIENCIAS JURIDICAS","17","17","34"
"UNIVERSIDAD DOCTOR ANDRES BELLO","PRIVADO","San Salvador","LICENCIATURA","LICENCIATURA EN CIENCIAS JURIDICAS","5","4","9"
"UNIVERSIDAD DOCTOR ANDRES BELLO, REGIONAL CHALATENANGO","PRIVADO","Chalatenango","LICENCIATURA","LICENCIATURA EN CIENCIAS JURIDICAS","17","11","28"
"UNIVERSIDAD DOCTOR ANDRES BELLO, REGIONAL SAN MIGUEL","PRIVADO","San Miguel","LICENCIATURA","LICENCIATURA EN CIENCIAS JURIDICAS","3","1","4"
"UNIVERSIDAD DR. JOSE MATIAS DELGADO","PRIVADO","La Libertad","LICENCIATURA","LICENCIATURA EN CIENCIAS JURIDICAS","44","24","68"
"UNIVERSIDAD EVANGELICA DE EL SALVADOR","PRIVADO","San Salvador","LICENCIATURA","LICENCIATURA EN CIENCIAS JURIDICAS","6","4","10"
"UNIVERSIDAD FRANCISCO GAVIDIA","PRIVADO","San Salvador","LICENCIATURA","LICENCIATURA EN CIENCIAS JURIDICAS","19","29","48"
"UNIVERSIDAD LUTERANA SALVADOREÑA","PRIVADO","San Salvador","LICENCIATURA","LICENCIATURA EN CIENCIAS JURIDICAS","25","22","47"
"UNIVERSIDAD MODULAR ABIERTA","PRIVADO","San Salvador","LICENCIATURA","LICENCIATURA EN CIENCIAS JURIDICAS","25","30","55"
"UNIVERSIDAD MODULAR ABIERTA, REGIONAL SAN MIGUEL","PRIVADO","San Miguel","LICENCIATURA","LICENCIATURA EN CIENCIAS JURIDICAS","19","14","33"
"UNIVERSIDAD MODULAR ABIERTA, REGIONAL SANTA ANA","PRIVADO","Santa Ana","LICENCIATURA","LICENCIATURA EN CIENCIAS JURIDICAS","15","18","33"
"UNIVERSIDAD MODULAR ABIERTA, REGIONAL SONSONATE","PRIVADO","Sonsonate","LICENCIATURA","LICENCIATURA EN CIENCIAS JURIDICAS","31","19","50"
"UNIVERSIDAD MONSEÑOR OSCAR ARNULFO ROMERO","PRIVADO","Chalatenango","LICENCIATURA","LICENCIATURA EN CIENCIAS JURIDICAS","17","12","29"
"UNIVERSIDAD NUEVA SAN SALVADOR","PRIVADO","San Salvador","LICENCIATURA","LICENCIATURA EN CIENCIAS JURIDICAS","2","7","9"
"UNIVERSIDAD PANAMERICANA","PRIVADO","San Salvador","LICENCIATURA","LICENCIATURA EN CIENCIAS JURIDICAS","8","34","42"
"UNIVERSIDAD PANAMERICANA, REGIONAL AHUACHAPAN","PRIVADO","Ahuachapán","LICENCIATURA","LICENCIATURA EN CIENCIAS JURIDICAS","16","25","41"
"UNIVERSIDAD PANAMERICANA, REGIONAL SAN VICENTE","PRIVADO","San Vicente","LICENCIATURA","LICENCIATURA EN CIENCIAS JURIDICAS","35","31","66"
"UNIVERSIDAD PEDAGOGICA DE EL SALVADOR","PRIVADO","San Salvador","LICENCIATURA","LICENCIATURA EN CIENCIAS JURIDICAS","0","0","0"
"UNIVERSIDAD POLITECNICA DE EL SALVADOR","PRIVADO","San Salvador","LICENCIATURA","LICENCIATURA EN CIENCIAS JURIDICAS","12","3","15"
"UNIVERSIDAD SALVADOREÑA ALBERTO MASFERRER","PRIVADO","San Salvador","LICENCIATURA","LICENCIATURA EN CIENCIAS JURIDICAS","15","16","31"
"UNIVERSIDAD TECNOLOGICA DE EL SALVADOR","PRIVADO","San Salvador","LICENCIATURA","LICENCIATURA EN CIENCIAS JURIDICAS","114","79","193"
"UNIVERSIDAD DE EL SALVADOR","PÚBLICO","San Salvador","LICENCIATURA","LICENCIATURA EN CIENCIAS JURIDICAS","240","163","403"
"UNIVERSIDAD CATOLICA DE EL SALVADOR","PRIVADO","Santa Ana","LICENCIATURA","LICENCIATURA EN CIENCIAS JURÍDICAS","21","17","38"
"UNIVERSIDAD FRANCISCO GAVIDIA Regional Santa Ana","PRIVADO","Santa Ana","LICENCIATURA","LICENCIATURA EN CIENCIAS JURÍDICAS","0","4","4"
"UNIVERSIDAD LUTERANA SALVADOREÑA, REGIONAL CABAÑAS","PRIVADO","Cabañas","LICENCIATURA","LICENCIATURA EN CIENCIAS JURÍDICAS","17","7","24"
"INSTITUTO ESPECIALIZADO DE NIVEL SUPERIOR ""ACADEMIA NACIONAL DE SEGURIDAD PÚBLICA""","PÚBLICO","La Paz","LICENCIATURA","LICENCIATURA EN CIENCIAS POLICIALES","0","0","0"
"UNIVERSIDAD NUEVA SAN SALVADOR","PRIVADO","San Salvador","LICENCIATURA","LICENCIATURA EN CIENCIAS POLITICAS","2","1","3"
"UNIVERSIDAD DE EL SALVADOR,SAN MIGUEL","PÚBLICO","San Miguel","LICENCIATURA","LICENCIATURA EN CIENCIAS QUIMICAS","1","1","2"
"UNIVERSIDAD DE EL SALVADOR","PÚBLICO","San Salvador","LICENCIATURA","LICENCIATURA EN CIENCIAS QUIMICAS","4","3","7"
"UNIVERSIDAD DE EL SALVADOR- SANTA ANA","PÚBLICO","Santa Ana","LICENCIATURA","LICENCIATURA EN CIENCIAS QUÍMICAS","4","9","13"
"UNIVERSIDAD CATOLICA DE EL SALVADOR","PRIVADO","Santa Ana","LICENCIATURA","LICENCIATURA EN CIENCIAS RELIGIOSAS","0","20","20"
"UNIVERSIDAD DOCTOR ANDRES BELLO","PRIVADO","San Salvador","LICENCIATURA","LICENCIATURA EN COMPUTACION","5","15","20"
"UNIVERSIDAD DOCTOR ANDRES BELLO, REGIONAL CHALATENANGO","PRIVADO","Chalatenango","LICENCIATURA","LICENCIATURA EN COMPUTACION","2","13","15"
"UNIVERSIDAD DOCTOR ANDRES BELLO, REGIONAL SAN MIGUEL","PRIVADO","San Miguel","LICENCIATURA","LICENCIATURA EN COMPUTACION","3","7","10"
"UNIVERSIDAD DOCTOR ANDRES BELLO, REGIONAL SONSONATE","PRIVADO","Sonsonate","LICENCIATURA","LICENCIATURA EN COMPUTACION","1","12","13"
"UNIVERSIDAD FRANCISCO GAVIDIA","PRIVADO","San Salvador","LICENCIATURA","LICENCIATURA EN COMUNICACIÓN CORPORATIVA","7","25","32"
"UNIVERSIDAD CAPITAN GENERAL GERARDO BARRIOS","PRIVADO","San Miguel","LICENCIATURA","LICENCIATURA EN COMUNICACIÓN INSTITUCIONAL Y PERIODISMO","45","21","66"
"UNIVERSIDAD CAPITAN GENERAL GERARDO BARRIOS, REGIONAL USULUTAN","PRIVADO","Usulutan","LICENCIATURA","LICENCIATURA EN COMUNICACIÓN INSTITUCIONAL Y PERIODISMO","8","3","11"
"UNIVERSIDAD CENTROAMERICANA JOSE SIMEON CAÑAS","PRIVADO","La Libertad","LICENCIATURA","LICENCIATURA EN COMUNICACION SOCIAL","39","17","56"
"INSTITUTO ESPECIALIZADO ESCUELA DE COMUNICACION ""MONICA HERRERA""","PRIVADO","La Libertad","LICENCIATURA","LICENCIATURA EN COMUNICACION Y ESTRATEGIA DIGITAL","3","10","13"
"UNIVERSIDAD DE ORIENTE","PRIVADO","San Miguel","LICENCIATURA","LICENCIATURA EN COMUNICACIONES","10","11","21"
"UNIVERSIDAD DOCTOR ANDRES BELLO, REGIONAL SAN MIGUEL","PRIVADO","San Miguel","LICENCIATURA","LICENCIATURA EN COMUNICACIONES","8","2","10"
"UNIVERSIDAD DOCTOR ANDRES BELLO, REGIONAL SONSONATE","PRIVADO","Sonsonate","LICENCIATURA","LICENCIATURA EN COMUNICACIONES","11","8","19"
"UNIVERSIDAD PEDAGOGICA DE EL SALVADOR","PRIVADO","San Salvador","LICENCIATURA","LICENCIATURA EN COMUNICACIONES","16","10","26"
"UNIVERSIDAD SALVADOREÑA ALBERTO MASFERRER","PRIVADO","San Salvador","LICENCIATURA","LICENCIATURA EN COMUNICACIONES","7","2","9"
"UNIVERSIDAD TECNOLOGICA DE EL SALVADOR","PRIVADO","San Salvador","LICENCIATURA","LICENCIATURA EN COMUNICACIONES","116","77","193"
"UNIVERSIDAD TECNOLOGICA DE EL SALVADOR","PRIVADO","San Salvador","LICENCIATURA","LICENCIATURA EN COMUNICACIONES CON ENFASIS EN IDIOMA INGLES","107","78","185"
"INSTITUTO ESPECIALIZADO ESCUELA DE COMUNICACION ""MONICA HERRERA""","PRIVADO","La Libertad","LICENCIATURA","LICENCIATURA EN COMUNICACIONES INTEGRADAS DE MARKETING","27","9","36"
"UNIVERSIDAD CAPITAN GENERAL GERARDO BARRIOS","PRIVADO","San Miguel","LICENCIATURA","LICENCIATURA EN CONTADURIA PUBLICA","23","16","39"
"UNIVERSIDAD CAPITAN GENERAL GERARDO BARRIOS, REGIONAL USULUTAN","PRIVADO","Usulutan","LICENCIATURA","LICENCIATURA EN CONTADURIA PUBLICA","0","0","0"
"UNIVERSIDAD CENTROAMERICANA JOSE SIMEON CAÑAS","PRIVADO","La Libertad","LICENCIATURA","LICENCIATURA EN CONTADURIA PUBLICA","35","26","61"
"UNIVERSIDAD CRISTIANA DE LAS ASAMBLEAS DE DIOS","PRIVADO","San Salvador","LICENCIATURA","LICENCIATURA EN CONTADURIA PUBLICA","7","3","10"
"UNIVERSIDAD DE EL SALVADOR- SANTA ANA","PÚBLICO","Santa Ana","LICENCIATURA","LICENCIATURA EN CONTADURIA PUBLICA","52","58","110"
"UNIVERSIDAD DE EL SALVADOR, SAN VICENTE","PÚBLICO","San Vicente","LICENCIATURA","LICENCIATURA EN CONTADURIA PUBLICA","26","37","63"
"UNIVERSIDAD DE EL SALVADOR,SAN MIGUEL","PÚBLICO","San Miguel","LICENCIATURA","LICENCIATURA EN CONTADURIA PUBLICA","18","15","33"
"UNIVERSIDAD DE ORIENTE","PRIVADO","San Miguel","LICENCIATURA","LICENCIATURA EN CONTADURIA PUBLICA","23","11","34"
"UNIVERSIDAD DE SONSONATE","PRIVADO","Sonsonate","LICENCIATURA","LICENCIATURA EN CONTADURIA PUBLICA","22","13","35"
