"MINISTERIO DE EDUCACIÓN, CIENCIA Y TECNOLOGÍA","","","","","","",""
"DIRECCIÓN NACIONAL DE EDUCACIÓN SUPERIOR","","","","","","",""
"DEPARTAMENTO DE GESTIÓN DE LA INFORMACIÓN Y ESTADÍSTICAS","","","","","","",""
"","","","","","","",""
"POBLACIÓN GRADUADA EN EDUCACIÓN SUPERIOR. EL SALVADOR  AÑO 2022","","","","","","",""
"","","","","","","",""
"FUENTE: Dirección Nacional de Educación Superior. Reporte 2022 SNIEES","","","","","","",""
"INSTITUCIÓN DE EDUCACIÓN SUPERIOR","SECTOR","DEPARTAMENTO","GRADO ACADÉMICO","CARRERA","FEMENINO","MASCULINO","TOTAL"
"UNIVERSIDAD SALVADOREÑA ALBERTO MASFERRER","PRIVADO","San Salvador","ESPECIALIDAD","ESPECIALIDAD EN ENDODONCIA","2","0","2"
"UNIVERSIDAD DR. JOSE MATIAS DELGADO","PRIVADO","La Libertad","ESPECIALIDAD","ESPECIALIDAD EN GINECOLOGIA Y OBSTETRICIA","3","0","3"
"UNIVERSIDAD DE EL SALVADOR","PÚBLICO","San Salvador","ESPECIALIDAD","ESPECIALIDAD EN GINECOLOGIA Y OBSTETRICIA","15","4","19"
"UNIVERSIDAD DR. JOSE MATIAS DELGADO","PRIVADO","La Libertad","ESPECIALIDAD","ESPECIALIDAD EN MEDICINA CRÍTICA PEDIÁTRICA","0","0","0"
"UNIVERSIDAD DE EL SALVADOR","PÚBLICO","San Salvador","ESPECIALIDAD","ESPECIALIDAD EN MEDICINA FAMILIAR","4","4","8"
"UNIVERSIDAD DR. JOSE MATIAS DELGADO","PRIVADO","La Libertad","ESPECIALIDAD","ESPECIALIDAD EN MEDICINA INTERNA","2","2","4"
"UNIVERSIDAD EVANGELICA DE EL SALVADOR","PRIVADO","San Salvador","ESPECIALIDAD","ESPECIALIDAD EN MEDICINA INTERNA","7","2","9"
"UNIVERSIDAD DE EL SALVADOR","PÚBLICO","San Salvador","ESPECIALIDAD","ESPECIALIDAD EN MEDICINA INTERNA- SEMIPRESENCIAL","12","11","23"
"UNIVERSIDAD DE EL SALVADOR","PÚBLICO","San Salvador","ESPECIALIDAD","ESPECIALIDAD EN MEDICINA PEDIATRICA","12","5","17"
"UNIVERSIDAD DR. JOSE MATIAS DELGADO","PRIVADO","La Libertad","ESPECIALIDAD","ESPECIALIDAD EN OBSTETRICIA CRÍTICA","0","0","0"
