"MINISTERIO DE EDUCACIÓN, CIENCIA Y TECNOLOGÍA
DIRECCIÓN NACIONAL DE EDUCACIÓN SUPERIOR
DEPARTAMENTO DE GESTIÓN DE LA INFORMACIÓN Y ESTADÍSTICAS","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"POBLACIÓN GRADUADA EN EDUCACIÓN SUPERIOR. EL SALVADOR  AÑO 2020","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"FUENTE: Dirección Nacional de Educación Superior. Reporte 2020 SINIEES","","","","","","","","","","","","",""
"Institución de Educación Superior","Departamento","Tipo de IES","Sector","Nivel Académico","Grado ","Carrera","Masculino","Femenino","Total","","","",""
"ESCUELA ESPECIALIZADA EN INGENIERÍA ITCA-FEPADE","La Libertad","Instituto Especializado","Público","Técnico","TÉCNICO","TECNICO EN INGENIERIA ELECTRICA","73","4","77","","","",""
"ESCUELA ESPECIALIZADA EN INGENIERÍA ITCA-FEPADE","San Miguel","Instituto Especializado","Público","Técnico","TÉCNICO","TECNICO EN INGENIERIA ELECTRICA","76","3","79","","","",""
"ESCUELA ESPECIALIZADA EN INGENIERÍA ITCA-FEPADE","Santa Ana","Instituto Especializado","Público","Técnico","TÉCNICO","TECNICO EN INGENIERIA ELECTRICA","74","8","82","","","",""
"ESCUELA ESPECIALIZADA EN INGENIERÍA ITCA-FEPADE","La Libertad","Instituto Especializado","Público","Técnico","TÉCNICO","TECNICO EN INGENIERIA ELECTRONICA INDUSTRIAL","17","1","18","","","",""
"ESCUELA ESPECIALIZADA EN INGENIERÍA ITCA-FEPADE","La Libertad","Instituto Especializado","Público","Técnico","TÉCNICO","TECNICO EN INGENIERIA INDUSTRIAL","75","33","108","","","",""
"ESCUELA ESPECIALIZADA EN INGENIERÍA ITCA-FEPADE","La Libertad","Instituto Especializado","Público","Técnico","TÉCNICO","TÉCNICO EN INGENIERÍA MECÁNICA OPCIÓN CNC","9","0","9","","","",""
"ESCUELA ESPECIALIZADA EN INGENIERÍA ITCA-FEPADE","La Libertad","Instituto Especializado","Público","Técnico","TÉCNICO","TÉCNICO EN INGENIERÍA MECÁNICA OPCIÓN MANTENIMIENTO INDUSTRIAL","12","0","12","","","",""
"ESCUELA ESPECIALIZADA EN INGENIERÍA ITCA-FEPADE","La Libertad","Instituto Especializado","Público","Técnico","TÉCNICO","TECNICO EN INGENIERIA MECATRONICA","47","5","52","","","",""
"ESCUELA ESPECIALIZADA EN INGENIERÍA ITCA-FEPADE","La Libertad","Instituto Especializado","Público","Técnico","TÉCNICO","TECNICO EN LABORATORIO QUIMICO","3","17","20","","","",""
"ESCUELA ESPECIALIZADA EN INGENIERÍA ITCA-FEPADE","La Unión","Instituto Especializado","Público","Técnico","TÉCNICO","TECNICO EN LOGISTICA Y ADUANAS","30","30","60","","","",""
"ESCUELA ESPECIALIZADA EN INGENIERÍA ITCA-FEPADE","La Unión","Instituto Especializado","Público","Técnico","TÉCNICO","TÉCNICO EN LOGÍSTICA Y ADUANAS-ARTICULADA","20","38","58","","","",""
